CEO #Pfizer is klaar met jullie Oplichters #Kindermoord https://t.co/PdPLiwiKoj https://t.co/u5alqffuFi https://t.co/nN4SaIrEq4,2021-06-06 13:06:03,1401525795621855235,Brandhaard com,DezeweekEu,18241742,Netherlands,https://t.co/wXsSzUfK0M,https://t.co/y7x4Wqr94d,False,3744,4948,6139,18267,16,2008-12-19 13:48:58,https://pbs.twimg.com/profile_images/1386462430956593152/QfHZO2QX_normal.jpg,False,False,nl
"Should I postpone my mammogram after #covidvaccine? Read more in today's post from Dr. Celia Stradtman, breast cancer survivor. https://t.co/m1X4ckwzHA https://t.co/Wj49WuSQyY",2021-06-06 13:01:48,1401524725990449154,Sparks & Favor PC,SparksFavorPC,993447092,"Birmingham, AL",http://t.co/e8Bwf1LwGn,Women's health. Posts for eductional purposes only. Consult healthcare provider for medical advice. Following/being followed and RT do not equal endorsement.,False,90,31,18,2200,2,2012-12-06 17:00:37,https://pbs.twimg.com/profile_images/3372012243/f411b6879622dd504d19a60074790685_normal.jpeg,True,False,en
Nummer 1  zit er in #vaccinated https://t.co/WtpM04dxlF,2021-06-06 12:44:45,1401520434433167360,jozzy,jozzy,10394862,netherlands,,game music internet,False,58,290,1100,1464,5,2007-11-19 21:56:55,https://pbs.twimg.com/profile_images/378800000690543250/30879a3ce85ae1b25163c6e2b1b53e67_normal.jpeg,True,False,nl
"RT @ezchili: ""The vaccine appears to boost immunity in some situations, but paradoxically, BCG may also calm an overactive immune system.""…",2021-06-06 12:38:55,1401518967911559168,Mikael Tilly,HertzaHaeon,18638997,Sweden,http://t.co/hAkWRZA7tv,,False,27,76,12478,233,1,2009-01-05 18:03:15,https://pbs.twimg.com/profile_images/486562055873253376/rm1umn25_normal.png,False,False,en
"@CVaccinebot 🇳🇱 Vaccine rollout for the Netherlands 🇳🇱

🟩🟩🟩🟩🟩🟩⬜⬜⬜⬜⬜⬜⬜⬜⬜ 40,25% (estimate)

Number of doses administered: 10.277.859

#COVID19NL #covidanalytics #Vaccination https://t.co/ENv7w97XHJ",2021-06-06 12:32:34,1401517370246639616,🇳🇱 Covid Analytics NL,covid_nl,1321101045083316246,Netherlands,https://t.co/13kZeH8mgw,"🇳🇱 Covid Analytics NL | Aggregate of COVID-19 related data from @RIVM, NICE, LCPS, @statistiekcbs, @Google by biomed PhD Student @ErasmusMC #COVID19NL 😷🏥📊",False,1051,625,100,3857,14,2020-10-27 14:47:41,https://pbs.twimg.com/profile_images/1321101579450241026/zTRr41T5_normal.jpg,True,False,en
"Great reporting @BlairReports @WTOC11 ! Proud of our efforts, which are very much thanks to partnerships including Dr Thacker @myMemorial Dr Davis @coastalhealth91 and more! @GAChapterAAP #CovidVaccine #PutKids1st #tweetiatrician https://t.co/mVtlC6fzoJ",2021-06-06 12:22:26,1401514820994805765,Ben Spitalnick MD,DrBenSpitalnick,896655373,"Savannah, GA",https://t.co/B2mY67DNTQ,"Dad, pediatrician, and child advocate. Co-Author of AAP parenting book #BabyCareAnywhere. Past President of @GAChapterAAP . #PutKids1st and #GoDawgs",False,549,225,3808,2079,12,2012-10-22 03:23:58,https://pbs.twimg.com/profile_images/1339241334218104837/mGRUOHAL_normal.jpg,True,False,en
"“Know what’s better than a free beer? Being able to taste &amp; smell beer.” - ⁦@GavinJackson #getvaccinated

⁩ ""So Long and Farewell 'Ongoing, Widespread and Not Contained'"" from ⁦@SCledepod⁩  https://t.co/W8krinPQMb",2021-06-06 12:15:25,1401513054915989505,"Marc A. Pitman, CSP®",marcapitman,6796602,"Greenville, SC USA",https://t.co/Ub2P8PD0bi,"Executive coach. Author of The Surprising Gift of Doubt & Ask Without Fear! Husband, dad, speaker. Likes bowties, Oxford commas, & home brewing.",True,12645,5040,24009,73686,800,2007-06-13 20:20:00,https://pbs.twimg.com/profile_images/1292278975893577728/wWwbJM45_normal.jpg,False,False,en
RT @AnnChahroudi: Excellent 🧵 about a rare potential complication of #CovidVaccine in teens. Benefits still outweigh risk - happy to have v…,2021-06-06 12:09:13,1401511491388456962,ScienceStop,B0tSci,1331611799053955073,,,"Hi, visitor! I am a friendly bot.  Follow me for (infrequent) re/tweets on #scicomm #scipol #scidip and #sciart . And on #CovidVaccine.",False,1183,81,31487,49100,11,2020-11-25 14:52:59,https://pbs.twimg.com/profile_images/1389954675072389121/5ISwnCRb_normal.jpg,True,False,en
RT @AnnChahroudi: Excellent 🧵 about a rare potential complication of #CovidVaccine in teens. Benefits still outweigh risk - happy to have v…,2021-06-06 12:09:07,1401511467979993102,Sasha,AVechera,2331011791,"Manhattan,NY. Redondo Beach,LA",,"Every hour wounds, the last one kills.",False,11913,11902,38972,101710,69,2014-02-06 23:43:36,https://pbs.twimg.com/profile_images/1138556438027145217/puSPAIGs_normal.png,False,False,en
"RT @ezchili: ""The vaccine appears to boost immunity in some situations, but paradoxically, BCG may also calm an overactive immune system.""…",2021-06-06 11:52:43,1401507342579953664,Leah McZ,McDrowsy,974416886988390400,,,"#pwME tweets about chronic illness, poverty, social housing, welfare etc #MyalgicE #fibro #migraine Also classic and indie📽🎞. Dreaming in technicolor",False,196,389,23129,5282,1,2018-03-15 22:47:44,https://pbs.twimg.com/profile_images/1266541314394349568/YlDL5Bqx_normal.jpg,True,False,en
"""The vaccine appears to boost immunity in some situations, but paradoxically, BCG may also calm an overactive immune system.""

Interesting for people with ME/CFS (#pwME) as well?

#svmed #MEcfs @polybioRF @OpenMedF #neurology #vaccine

https://t.co/qFXEoKwnmW",2021-06-06 11:10:29,1401496711995006980,ez,ezchili,107076934,Sweden,,"#pwME science, history of ideas, board games, words, photography, film, chili peppers, almost everything is interesting, forever curious, disabled due to #MEcfs",False,8063,2069,10841,9987,110,2010-01-21 13:54:43,https://pbs.twimg.com/profile_images/1212308205373730817/LRlyYlaS_normal.jpg,True,False,en
"So, #Pfizer, pro VS con? I am wanting to visit my mom (65), in late July, but I do not want to put her at risk. honestly, I do not understand any of the C19 vaccines, but the one seems to be the most popular in TN.",2021-06-06 11:08:16,1401496154756599814,Jen N Juice,Aye_Diabla,17825561,"Nashville, TN",,,False,1334,112,1366,13325,9,2008-12-03 02:00:52,https://pbs.twimg.com/profile_images/1391834060201369600/DCwAZgwF_normal.jpg,False,False,en
As many as it takes. I’m in. We must harness this monster in our lifetime. We’ve lost four now. Last one two months ago at age 62. #TrumpVirus🦠🦠🦠🦠🦠🦠🦠🦠🦠🦠🦠#VaccinationWorks #COVID19Vaccination #vaccinated #EndCovid #COVIDIOTS https://t.co/QGxeEQHBsV,2021-06-06 11:03:32,1401494962617868291,Lindsay Houston,Lindsay68365003,1313944235452891144,,,"Original hippie, hell-raiser, libtard, van-dwelling nomad, retired marketing exec, mask-wearing maniac, chanting Buddhist—lifetime of “good trouble” DMs deleted",False,1066,1170,37578,32569,4,2020-10-07 20:48:39,https://pbs.twimg.com/profile_images/1366859680224575489/uZ6_ZmXZ_normal.jpg,True,False,en
RT @ramon_forster: This is how predominantly years of life lost (YLL) look like in #Switzerland and in many other countries. #SARSCoV2 #vac…,2021-06-06 11:03:20,1401494913750081539,Ramza Behoulve,RamzaBehoulve,70557856,,,Just an immunologist. Also avid video and board games player. Covid-19 never stopped me from playing around a table with my friends and never will. 🇨🇭,False,292,23,3911,7231,3,2009-09-01 01:15:32,https://pbs.twimg.com/profile_images/1313220517025976321/N6__5212_normal.jpg,True,False,en
"Teenage Daughter gets #2 COVID-19 vaccine shot this morning.
Means entire household will be vaccinated.
#vaccinated #COVIDー19",2021-06-06 10:48:29,1401491176528699392,🖤 🔱 CuNnY aka HamyHamy 🔱 💛,i_am_cunningham,923510999348580353,"Atlanta, GA",,Pittsburgh 412 ➡️ TheATL | #Steelers | #IUP | #Pens | #Pirates | #HereWeGo | Married 🇵🇷 | @NothingButPollz | Mixed Dude 🇩🇪🇳🇬🇬🇧🇨🇲| Keep it Real 💯 |,False,2437,2616,14578,9339,4,2017-10-26 11:25:55,https://pbs.twimg.com/profile_images/1396136701110718471/MguZrD0U_normal.jpg,True,False,en
"RT @AlienGourmand: NUMBER 5 COMPLETE!! 🎉🥳
☑️ Pfizer 
☑️ Moderna
☑️ AstraZeneca
☑️ Johnson &amp; Johnson
☑️ Sputnik V
Next week I go in for #6 C…",2021-06-06 10:40:57,1401489278908047363,Gastronaut 🥖🚀👽🧀,AlienGourmand,425967133,North America,,Will vaccinate for cash.,False,83,503,6634,5397,4,2011-12-01 17:29:39,https://pbs.twimg.com/profile_images/1274289957436297217/E4B4tvwc_normal.jpg,False,False,en
"Covid News: India’s Capital Will Ease Restrictions
#Europe
#China
#AsiaPacific
#IndoChina
#SouthAmerica
#MiddleEast
#CDC
#WHO
#COVID19
#USA
#Pandemic
#Testing
#Mandates
#Masks
#Deaths
#Vaccine 
#Variants 
https://t.co/VVKI3fHAMw",2021-06-06 10:35:13,1401487838114373633,PhatzNewsRoom,RealPhatsBlog,220365524,North America,https://t.co/7Sk0DKzPrr,"Breaking News, News, Music, Sports, Politics, Living, Interest, Relationship information, Entertainment, Business and more. World News with a unique perspective",False,6723,987,30896,84593,29,2010-11-27 15:34:06,https://pbs.twimg.com/profile_images/378800000731443958/ba87f358ff14085cc69b8789e471bb01_normal.jpeg,False,False,en
RT @ramon_forster: This is how predominantly years of life lost (YLL) look like in #Switzerland and in many other countries. #SARSCoV2 #vac…,2021-06-06 09:02:55,1401464608435679237,Corona Reduit,CoronaReduit,1267896321190567938,Switzerland,,Covid19 risk person protection. Volunteers. Data driven. No interest in rhetorical debates and politicization. Discussion always welcome. coronareduit@gmail.com,False,648,379,906,3707,9,2020-06-02 19:17:01,https://pbs.twimg.com/profile_images/1267898283730636802/JhuD9VRW_normal.jpg,True,False,en
"289 cases and 16 deaths in South Carolina today. #COVID19
#GetVaccinated https://t.co/YLx6BAVwJM",2021-06-06 08:57:48,1401463322512351232,Kyle Lacio,KyleLacio,132550968,"South Carolina, USA",https://t.co/blXgZmEIZb,"@UofSC 2022: Biomedical Engineering
🌹 #BlackLivesMatter
#Medicare4All #GetVaccinated #WearMasks",False,19783,16092,29001,7530,503,2010-04-13 15:05:15,https://pbs.twimg.com/profile_images/1363518041078784001/sEVoaCmk_normal.jpg,False,False,en
RT @DannyWilde17: What colour armband does #TonyBlair want all of us who've had a #CovidVaccine to wear.?,2021-06-06 08:54:53,1401462588932767744,Dan Francisco,DannyWilde17,1301185362891624448,Dark Side Of The Moon.,,#MYOB,False,1565,2763,5168,8017,2,2020-09-02 15:49:13,https://pbs.twimg.com/profile_images/1397206722381500429/jYNk_DUJ_normal.jpg,True,False,en
What colour armband does #TonyBlair want all of us who've had a #CovidVaccine to wear.?,2021-06-06 08:54:31,1401462493550157827,Dan Francisco,DannyWilde17,1301185362891624448,Dark Side Of The Moon.,,#MYOB,False,1565,2763,5168,8017,2,2020-09-02 15:49:13,https://pbs.twimg.com/profile_images/1397206722381500429/jYNk_DUJ_normal.jpg,True,False,en
"RT @meier_matias: Happy to have received the #AstraZeneca #COVID19 vaccine @Sahelhospital1 today! 

Thank you to all health teams here in #…",2021-06-06 08:46:18,1401460428887187458,أيانا🌻,AyanaYakhni,221075707,"Tripoli, Lebanon",,Child Protection. Bookworm📚. 🇱🇧🇨🇦 I am a Monica! #كلّن_يعني_كلّن ✈️,False,1237,405,1017,33838,7,2010-11-29 17:33:46,https://pbs.twimg.com/profile_images/1401101942953328642/_VdPNBA3_normal.jpg,False,False,en
"Ook iets gevonden dat er voor te zorgt, dat de overheid geen track meer op me kan houden na de vaccinatie. Enige probleem: mijn vrouw wil me continue in de oven stoppen, als ze trek heeft...

#Vaccinatie #COVID19 #5g #Janssen #wappies #bvdd https://t.co/adAftH1r5f",2021-06-06 08:18:19,1401453387120623618,Erik,erik156sw,998996748222783490,Netherlands,,"I want my kids to be kind, but I also want them to know that they can throat-punch someone if they need to....",False,34,180,3524,1368,1,2018-05-22 18:39:20,https://pbs.twimg.com/profile_images/1124801233355714562/1PUhkzBY_normal.jpg,True,False,nl
"RT @SchneiderNA: Meet the critical #infrastructure capable of supporting the #COVIDvaccine distribution effort, from the lab to your arm.",2021-06-06 07:59:09,1401448560177127426,Grumpy Grandpa,mayeesq,1169364059193585664,Nigeria,,"Esq. Poet. //
I Hope You Leave Here With More Questions Than Answers.

#COYG!",False,5931,1619,54709,216625,0,2019-09-04 21:38:29,https://pbs.twimg.com/profile_images/1320687698051506182/I01WE4lA_normal.jpg,True,False,en
I love my COVID vaccine. It’s my favorite travel accessory and looks great on me! #travel #vaccinated #travelingwhilevaccinated https://t.co/7dj0ynbjza,2021-06-06 07:30:05,1401441248536195075,Leslie LaChance,fortunajones,34916596,"Nashville, TN",https://t.co/SpSuJdmMkq,Poet. Photomaker. Craver of Beauty. Living with ROS1+ metastatic lung cancer.,False,314,1786,2676,1406,2,2009-04-24 12:53:27,https://pbs.twimg.com/profile_images/1394349565013368833/FgrQeE5Q_normal.jpg,False,False,en
"@CVaccinebot 🇳🇱 Vaccine rollout for the Netherlands 🇳🇱

🟩🟩🟩🟩🟩🟩⬜⬜⬜⬜⬜⬜⬜⬜⬜ 40,25% (estimate)

Number of doses administered: 10.277.859

#COVID19NL #covidanalytics #Vaccination https://t.co/zjt95uJEIw",2021-06-06 07:17:43,1401438136283152385,🇳🇱 Covid Analytics NL,covid_nl,1321101045083316246,Netherlands,https://t.co/13kZeH8mgw,"🇳🇱 Covid Analytics NL | Aggregate of COVID-19 related data from @RIVM, NICE, LCPS, @statistiekcbs, @Google by biomed PhD Student @ErasmusMC #COVID19NL 😷🏥📊",False,1051,625,100,3857,14,2020-10-27 14:47:41,https://pbs.twimg.com/profile_images/1321101579450241026/zTRr41T5_normal.jpg,True,False,en
"RT @darkvdred: Follow @graphenevaccine on IG for more #magnetchallenge clips and pictures.

#magnetchallenge #magnetgate magnet vaccine #va…",2021-06-06 07:13:28,1401437065259192320,Gregory Mendoza,gregmendozave,24470923,"Caracas, Venezuela",https://t.co/HWeOLT1BDy,Venezuelan against Socialism/Communism/Satanism/Transhumanism/New World Order/The Great Reset/Agenda 2030/Technocracy/Medical Tyranny,False,674,272,28617,121025,12,2009-03-15 02:13:35,https://pbs.twimg.com/profile_images/1384041063262810113/SRC4zfIv_normal.jpg,False,False,en
RT @HBPCharbel: .@Facebook should be aware of the false narratives people post about the #Covid vaccine. Its because of these fake news mom…,2021-06-06 07:01:58,1401434170002452481,CryMeaRiver,rivermea4,1307421267511980032,Somewhere Under The Rainbow ,https://t.co/G8xlsFCwcc,"A soul that goes on changin                          
           Is a soul that goes on livin✨
                                           BY GRACE THROUGH FAITH",False,195,216,5457,2638,0,2020-09-19 20:48:30,https://pbs.twimg.com/profile_images/1383817775739666438/SghObSie_normal.jpg,True,False,en
".@Facebook should be aware of the false narratives people post about the #Covid vaccine. Its because of these fake news mom was so hesitant to do it, its not the time nor the place for that now.. especially the videos about the magnet experience after the #Pfizer shots.",2021-06-06 06:57:57,1401433158520815621,C̶ H̶ A̶ R̶ B̶ E̶ L̶ 🇱🇧,HBPCharbel,814146936601186304,Lebanon,,"Potterhead 🧙‍♂️ , writer, CEO of Ceza Trading, BA in RadioTv, English Literature LU",False,2590,1519,50345,39422,13,2016-12-28 16:32:10,https://pbs.twimg.com/profile_images/1400330372706181124/e28JWhqa_normal.jpg,True,False,en
RT @ramon_forster: This is how predominantly years of life lost (YLL) look like in #Switzerland and in many other countries. #SARSCoV2 #vac…,2021-06-06 06:31:28,1401426496204455937,ScienceStop,B0tSci,1331611799053955073,,,"Hi, visitor! I am a friendly bot.  Follow me for (infrequent) re/tweets on #scicomm #scipol #scidip and #sciart . And on #CovidVaccine.",False,1183,81,31487,49100,11,2020-11-25 14:52:59,https://pbs.twimg.com/profile_images/1389954675072389121/5ISwnCRb_normal.jpg,True,False,en
This is how predominantly years of life lost (YLL) look like in #Switzerland and in many other countries. #SARSCoV2 #vaccination having an effect onto frail/risk groups but likely no game changer for younger/healthy people and the dynamics of the pandemic. https://t.co/jyyfS0yiPj https://t.co/65v0IVXEvt,2021-06-06 06:31:23,1401426473077125122,Ramon Forster,ramon_forster,349525952,Switzerland,,"Trying to make some common sense of things by connecting a few dots with heretic thinking applied. Economy, technology and (of course) #Covid19.",False,240,349,4331,1750,4,2011-08-06 07:10:10,https://pbs.twimg.com/profile_images/926702884464545793/MkvuMI6U_normal.jpg,False,False,en
"@meg_socal @CariKelemen I just got my socalled toxic jab last thursday. 
I feel just fine.
#modernavaccine 
Oh, and by the way.  Stop praying and get education.",2021-06-06 05:58:58,1401418318775558146,Klaus 🇩🇰,khmultifidi,436940365,Denmark,,"Debat om alt. Aktieinvestor, golf, fitness, eks-HJVPO, eks-søpølse udst. Frh., cyklet og løbet mange kilometer, politisk til højre for midten.",False,270,619,28795,27215,19,2011-12-14 19:27:37,https://pbs.twimg.com/profile_images/1288872500886110208/an7s_QHa_normal.jpg,False,False,en
RT @McfaddenBrandy: @CDCgov As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I wonder how @AlbertBo…,2021-06-06 05:33:25,1401411885300322304,Christian La’Moy,Goosedancer,839840543916044289,Oxfordshire Great Britain,,"“To live is the rarest thing in the world. Most people exist, that is all.” Oscar Wilde. 
All Insults & profanity instant Block ~ Fortuna Audaces Juvat ~🍻🇬🇧",False,430,246,69271,71039,3,2017-03-09 14:09:23,https://pbs.twimg.com/profile_images/968898499512283137/wTTsmU4N_normal.jpg,True,False,en
RT @McfaddenBrandy: As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I wonder how @AlbertBourla can…,2021-06-06 05:32:09,1401411567497977856,Christian La’Moy,Goosedancer,839840543916044289,Oxfordshire Great Britain,,"“To live is the rarest thing in the world. Most people exist, that is all.” Oscar Wilde. 
All Insults & profanity instant Block ~ Fortuna Audaces Juvat ~🍻🇬🇧",False,430,246,69271,71039,3,2017-03-09 14:09:23,https://pbs.twimg.com/profile_images/968898499512283137/wTTsmU4N_normal.jpg,True,False,en
RT @McfaddenBrandy: Today in PT we worked on jumping. This was hard..I started crying 😭 afterwards b/c I was walking/running 4-6 miles a da…,2021-06-06 05:30:44,1401411210495528963,Christian La’Moy,Goosedancer,839840543916044289,Oxfordshire Great Britain,,"“To live is the rarest thing in the world. Most people exist, that is all.” Oscar Wilde. 
All Insults & profanity instant Block ~ Fortuna Audaces Juvat ~🍻🇬🇧",False,430,246,69271,71039,3,2017-03-09 14:09:23,https://pbs.twimg.com/profile_images/968898499512283137/wTTsmU4N_normal.jpg,True,False,en
RT @McfaddenBrandy: @KatherineEban @VanityFair As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I w…,2021-06-06 05:29:34,1401410919377350657,Christian La’Moy,Goosedancer,839840543916044289,Oxfordshire Great Britain,,"“To live is the rarest thing in the world. Most people exist, that is all.” Oscar Wilde. 
All Insults & profanity instant Block ~ Fortuna Audaces Juvat ~🍻🇬🇧",False,430,246,69271,71039,3,2017-03-09 14:09:23,https://pbs.twimg.com/profile_images/968898499512283137/wTTsmU4N_normal.jpg,True,False,en
#CovidVaccine salute to our political class and leaders .. pay 1400 for a home made vaccination shot ... great vision @BJP4India @KTRTRS #TelanganaFightsCovid19 @INCIndia,2021-06-06 05:14:53,1401407222639316997,Madhu Krishna,madhukrishna123,103792912,"Atlanta, GA",,fitness cricket music and life,False,30,57,21,379,0,2010-01-11 07:53:04,https://pbs.twimg.com/profile_images/904724766241603584/k5RNGpR0_normal.jpg,True,False,en
#TakeYourShot #COVID19 #GetVaccinated https://t.co/1eM0XAJmkm,2021-06-06 05:06:58,1401405231146078208,Krys#VoteMcMasterOut,Krystyn77733531,1032407610119663616,"South Carolina, USA",,A wife and mom who just wants a better tomorrow for her family. #Resist #BLM #Homeschoolmom,False,657,1754,69128,27117,3,2018-08-22 23:22:10,https://pbs.twimg.com/profile_images/1401406044220297219/Wjb3WZMz_normal.jpg,True,False,und
"RT @PhilStuPF: 6 hours in Not trying to jynx myself as I am still expecting fever, chills and etc. And hopefully that means side effects ar…",2021-06-06 04:48:17,1401400527598997505,RadixVerum,RadixSant,1372172411475492866,,,,False,16,108,3498,3613,0,2021-03-17 13:07:30,https://pbs.twimg.com/profile_images/1386071183930511362/PcRU7M3I_normal.jpg,True,False,en
"@Bill_Maxwell_ Yes! Household fully vaxxed. It’s a wonderful feeling!
#vaccinated
#VaccinesSaveLives
#vaccination",2021-06-06 04:23:45,1401394356725108739,OutThereGrandma,OutThereGma,1061478883,"Minnesota, USA",,Born a Dem,False,246,386,17787,19850,0,2013-01-04 21:24:06,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,True,en
"Yes.  Along with my wife and daughter.  Believers in science and medicine not ideological hogwash that relies on wishful thinking and witch craft.  

#COVID19 
#vaccination 
#science 
#SundayMorning 
#sundayvibes 
#SundayThoughts https://t.co/Qk0zQOnaA9",2021-06-06 04:07:54,1401390368147525632,TrumanDem 🇺🇸🌊🐊🚀,TrumanDem,14836408,"Jacksonville, FL",https://t.co/dCbplqeKNN,"Liberal RFK Dem, #BidenHarris #BLM #UF Gator alum. Vaccinated, Husband, Dad, & public school history teacher. Follow=F/B #MAGA Trolls Blocked.",False,2714,3236,2088,41025,98,2008-05-19 18:52:07,https://pbs.twimg.com/profile_images/1281989618217385985/77URFYbg_normal.jpg,False,False,en
@KatherineEban @VanityFair As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I wonder how @AlbertBourla can sleep at night without acknowledging ALL the data of this vaccine. Why should we #TrustTheScience when they are not being 💯 transparent with the data? https://t.co/0VLnPbF3B6,2021-06-06 03:57:47,1401387822091800578,Brandy McFadden,McfaddenBrandy,1135216979424567297,"Nashville, TN",https://t.co/hduo8nGR5c,"Advocate for #WomensHealth ,people w/ #Disabilities, & Patient-Centered care/research, Executive Director of @MyEpilepsyStory, All tweets are my own opinions",False,126,524,421,782,0,2019-06-02 16:09:53,https://pbs.twimg.com/profile_images/1307005751991427073/Sigy8R93_normal.jpg,True,False,en
@CDCgov As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I wonder how @AlbertBourla can sleep at night without acknowledging ALL the data of this vaccine. Why should we #TrustTheScience when they are not being 💯 transparent with the data? https://t.co/iG4MbL9wUE,2021-06-06 03:48:06,1401385383557013506,Brandy McFadden,McfaddenBrandy,1135216979424567297,"Nashville, TN",https://t.co/hduo8nGR5c,"Advocate for #WomensHealth ,people w/ #Disabilities, & Patient-Centered care/research, Executive Director of @MyEpilepsyStory, All tweets are my own opinions",False,126,524,421,782,0,2019-06-02 16:09:53,https://pbs.twimg.com/profile_images/1307005751991427073/Sigy8R93_normal.jpg,True,False,en
"#vaccinated
6/5/21
Penny weed after protecting health.
https://t.co/jRK3Zq4uH1",2021-06-06 03:43:15,1401384162758701056,PReportReviews1,Reviews1P,1355583818107932682,"Nashville, TN",https://t.co/M9VKEyooDL,"Reviewing the 🌎.
Living W/Rare Blood Cancer & CKD. WWJD? LGBTQI & Child Abuse Survivor/
Proud Democrat for 20 Years 🌊#TheResistance",False,47,69,929,2442,1,2021-01-30 18:29:17,https://pbs.twimg.com/profile_images/1401176314539921409/VGeKZpPc_normal.jpg,True,False,en
@RandPaul As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I wonder how @AlbertBourla can sleep at night without acknowledging ALL the data of this vaccine. Why should we #TrustTheScience when they are not being 💯 transparent with the data? https://t.co/yV2QKAQvPK,2021-06-06 03:41:09,1401383634507120641,Brandy McFadden,McfaddenBrandy,1135216979424567297,"Nashville, TN",https://t.co/hduo8nGR5c,"Advocate for #WomensHealth ,people w/ #Disabilities, & Patient-Centered care/research, Executive Director of @MyEpilepsyStory, All tweets are my own opinions",False,126,524,421,782,0,2019-06-02 16:09:53,https://pbs.twimg.com/profile_images/1307005751991427073/Sigy8R93_normal.jpg,True,False,en
RT @Clarksville_TN: Austin Peay State University announces return to full capacity for all 2021-22 Athletic Events #clarksville #clarksvill…,2021-06-06 03:40:09,1401383382093807617,Corona Virus Updates,Corona_SSYT,1264545240414687232,,,"Follow for each & every Corona Virus Update.
#CoronaVirus #Covid19
This Bot is created and controlled by @Sukhpreet_SSYT",False,1649,1,74,205897,6,2020-05-24 13:15:07,https://pbs.twimg.com/profile_images/1264653496239996929/FtV9NoHG_normal.jpg,True,False,en
As I think about what I have been through since having my @pfizer #CovidVaccine Reaction I wonder how @AlbertBourla can sleep at night without acknowledging ALL the data of this vaccine. Why should we #TrustTheScience when they are not being 💯 transparent with the data? https://t.co/8zgemAJPLK,2021-06-06 03:29:43,1401380755754848256,Brandy McFadden,McfaddenBrandy,1135216979424567297,"Nashville, TN",https://t.co/hduo8nGR5c,"Advocate for #WomensHealth ,people w/ #Disabilities, & Patient-Centered care/research, Executive Director of @MyEpilepsyStory, All tweets are my own opinions",False,126,524,421,782,0,2019-06-02 16:09:53,https://pbs.twimg.com/profile_images/1307005751991427073/Sigy8R93_normal.jpg,True,False,en
"RT @SchneiderNA: Meet the critical #infrastructure capable of supporting the #COVIDvaccine distribution effort, from the lab to your arm.",2021-06-06 03:23:20,1401379149571309569,Sch53,Sch531,1158932056338030592,"Atlanta, GA",,Boyz Just Want to Have Fun,False,268,823,179019,176409,2,2019-08-07 02:45:08,https://pbs.twimg.com/profile_images/1267819452789219328/cKqekBwS_normal.jpg,True,False,en
